date_time,temperature,humidity,wind_speed,condition,description,icon,pressure,precipitation
2025-07-01T08:00:00,22.5,45.0,8.5,Sunny,Clear sky,01d,1016.5,0.0
2025-07-02T08:00:00,23.2,42.0,9.2,Sunny,Clear sky,01d,1017.0,0.0
2025-07-03T08:00:00,24.0,40.0,8.8,Sunny,Clear sky,01d,1017.5,0.0
2025-07-04T08:00:00,23.8,43.0,9.5,Sunny,Clear sky,01d,1017.2,0.0
2025-07-05T08:00:00,22.8,46.0,10.2,Partly Cloudy,Few clouds,02d,1016.8,0.0
2025-07-06T08:00:00,21.5,48.0,11.5,Cloudy,Scattered clouds,03d,1016.2,0.0
2025-07-07T08:00:00,20.2,52.0,12.8,Cloudy,Overcast clouds,04d,1015.5,0.2
2025-07-08T08:00:00,21.0,50.0,11.8,Cloudy,Broken clouds,04d,1015.8,0.0
2025-07-09T08:00:00,22.5,47.0,10.5,Partly Cloudy,Few clouds,02d,1016.5,0.0
2025-07-10T08:00:00,23.8,44.0,9.2,Sunny,Clear sky,01d,1017.2,0.0
2025-07-11T08:00:00,24.5,41.0,8.5,Sunny,Clear sky,01d,1017.8,0.0
2025-07-12T08:00:00,25.0,39.0,8.0,Sunny,Clear sky,01d,1018.0,0.0
2025-07-13T08:00:00,24.8,40.0,8.8,Sunny,Clear sky,01d,1017.8,0.0
2025-07-14T08:00:00,23.5,43.0,9.5,Sunny,Clear sky,01d,1017.2,0.0
2025-07-15T08:00:00,22.2,46.0,10.8,Partly Cloudy,Few clouds,02d,1016.5,0.0
2025-07-16T08:00:00,21.8,48.0,11.2,Partly Cloudy,Scattered clouds,03d,1016.0,0.0
2025-07-17T08:00:00,22.5,47.0,10.5,Partly Cloudy,Few clouds,02d,1016.5,0.0
2025-07-18T08:00:00,23.8,44.0,9.5,Sunny,Clear sky,01d,1017.2,0.0
2025-07-19T08:00:00,24.5,42.0,8.8,Sunny,Clear sky,01d,1017.8,0.0
2025-07-20T08:00:00,25.2,40.0,8.2,Sunny,Clear sky,01d,1018.2,0.0
2025-07-21T08:00:00,24.8,41.0,8.5,Sunny,Clear sky,01d,1017.8,0.0
2025-07-22T08:00:00,23.8,44.0,9.2,Sunny,Clear sky,01d,1017.2,0.0
2025-07-23T08:00:00,22.5,47.0,10.5,Partly Cloudy,Few clouds,02d,1016.5,0.0
2025-07-24T08:00:00,21.8,49.0,11.5,Cloudy,Scattered clouds,03d,1016.0,0.0
2025-07-25T08:00:00,22.2,48.0,10.8,Partly Cloudy,Few clouds,02d,1016.5,0.0
2025-07-26T08:00:00,23.5,45.0,9.8,Sunny,Clear sky,01d,1017.0,0.0
2025-07-27T08:00:00,24.2,43.0,9.2,Sunny,Clear sky,01d,1017.5,0.0
2025-07-28T08:00:00,24.8,41.0,8.5,Sunny,Clear sky,01d,1017.8,0.0
2025-07-29T08:00:00,23.5,44.0,9.5,Sunny,Clear sky,01d,1017.2,0.0
2025-07-30T08:00:00,22.8,46.0,10.2,Partly Cloudy,Few clouds,02d,1016.8,0.0
2025-07-31T08:00:00,23.2,45.0,9.8,Sunny,Clear sky,01d,1017.0,0.0

